group_id,store,name,price,url,volume
2393,sas,"Classic chewing gum ""Orbit"" 11.5g",150.0,/en/catalog/zhevatelnaya_rezinka/46041/,11g
2394,supermarket.am,"Chewing gum ""Orbit"" 13g Mint",140.0,/en/products/zhev-rezinka-orbit-spearmint-g-rossiya_11195/,13g
2394,yerevan_city,"Chewing gum ""Orbit"" sweet mint 13.6g",140.0,/shop/product-details/10799,13g
2394,sas,"Sweetmint chewing gum ""Orbit"" 13.6g",150.0,/en/catalog/zhevatelnaya_rezinka/46053/,13g
2395,supermarket.am,"Chewing gum ""Dirol Fresh"" 13.6g Mint",120.0,/en/products/zhev-rezinka-dirol-myata-g-rossiya_10978/,13g
2395,yerevan_city,"Chewing gum ""Dirol"" mint 13.6g",120.0,/shop/product-details/6175,13g
2396,supermarket.am,"Chocolate sticks ""Mars Minis"" 180g",990.0,/en/products/konfety-mars-minis-g-germaniya_15406/,180g
2396,yerevan_city,"Chocolate candies ""Mars"" Minis kg",4990.0,/shop/product-details/7512,
2397,supermarket.am,"Chewing gum ""Dirol"" 13.6g Watermelon & Melon",110.0,/en/products/zhev-rezinka-dirol-arbuzno-dynnyy-kokteyl-g-rossiya_10961/,13g
2397,yerevan_city,"Chewing gum ""Dirol"" watermelon and melon 13.6g",120.0,/shop/product-details/400,13g
2398,supermarket.am,"Chewing gum ""Orbit White"" 14g Mint",140.0,/en/products/zhev-rezinka-orbit-white-spearmint-g-rossiya_11209/,14g
2398,sas,"Fresh mint chewing gum ""Orbit White"" 14g",150.0,/en/catalog/zhevatelnaya_rezinka/46015/,14g
2398,yerevan_city,"Chewing gum ""Extra"" Fresh strong mint, sugar free 14g",490.0,/shop/product-details/162432,14g
2399,supermarket.am,"Chewing gum ""Orbit"" 13.6g Strawberry & Banana",140.0,/en/products/zhev-rezinka-orbit-klubnika-banan-g-rossiya_11224/,13g
2399,yerevan_city,"Chewing gum ""Orbit"" strawberry and banana 13.6g",140.0,/shop/product-details/7398,13g
2399,sas,"Strawberry & banana chewing gum ""Orbit"" 13.6g",150.0,/en/catalog/zhevatelnaya_rezinka/46045/,13g
2400,supermarket.am,"Chewing gum ""Dirol"" 13.6g Mint",110.0,/en/products/zhev-rezinka-dirol-fresh-ledyanaya-myata-g-rossiya_10957/,13g
2400,yerevan_city,"Chewing gum ""Dirol"" ice mint 13.6g",120.0,/shop/product-details/16830,13g
2401,supermarket.am,"Chocolate sticks ""Milky Way Minis"" 176g",990.0,/en/products/konfety-milky-way-minis-g-germaniya_15417/,176g
2401,sas,"Chocolate bar ""Milky Way Minis"" 176g",1040.0,/en/catalog/konfety_v_upakovke/79096/,176g
2401,yerevan_city,"Chocolate candies ""Milky Way"" Minis kg",4990.0,/shop/product-details/11570,
2402,supermarket.am,"Chewing gum ""Orbit White"" 13.6g Bubble",140.0,/en/products/zhev-rezinka-orbit-white-bubblemint-gr_294870/,13g
2402,sas,"Bubblemint chewing gum ""Orbit White"" 13.6g",150.0,/en/catalog/zhevatelnaya_rezinka/46010/,13g
2402,yerevan_city,"Chewing gum ""Orbit"" bubblemint 13.6g",140.0,/shop/product-details/7482,13g
2403,supermarket.am,"Chewing gum ""Chupa Chups Big Babol"" 22.5g Strawberry",150.0,/en/products/zhev-rezinka-shupa-chups-big-babol-strawberry-g-italiya_164980/,22g
2404,supermarket.am,"Chewing gum ""Orbit"" 14g Watermelon",140.0,/en/products/zhev-rezinka-orbit-sochnyy-arbuz-g-rossiya_11232/,14g
2404,sas,"Watermelon chewing  gum ""Orbit"" 14g",150.0,/en/catalog/zhevatelnaya_rezinka/46056/,14g
2405,supermarket.am,"Chewing gum ""Orbit"" 14g Mint",140.0,/en/products/zhev-rezinka-orbit-sladkaya-myata-g-rossiya_11229/,14g
2405,sas,"Spearmint chewing gum  ""Orbit White"" 14g",150.0,/en/catalog/zhevatelnaya_rezinka/46024/,14g
2406,supermarket.am,"Chewing gum ""Dirol X-Fresh"" 18g Watermelon",230.0,/en/products/zhev-rezinka-dirol-x-fresh-arbuznnyy-led-g-rossiya_272920/,18g
2406,sas,"Watermelon chewing gum ""Trident""",750.0,/en/catalog/zhevatelnaya_rezinka/46242/,
2407,supermarket.am,"Chewing gum ""Orbit"" 13.6g",140.0,/en/products/zhev-rezinka-orbit-yagodnyy-miks-g-rossiya_225782/,13g
2407,yerevan_city,"Chewing gum ""Orbit"" classic 13.6g",140.0,/shop/product-details/36193,13g
2407,sas,"Menthol & mint chewing gum ""Orbit White Classic"" 13.6g",150.0,/en/catalog/zhevatelnaya_rezinka/46012/,13g
2408,supermarket.am,"Chewing gum ""Mentos Pure White"" 16g Tender mint",200.0,/en/products/zhev-rezinka-mentos-nezhnaya-myata-g_641737/,16g
2409,supermarket.am,"Chewing gum ""Wrigley's"" 13g Mint",140.0,/en/products/zhev-rezinka-wrigley-s-spearmint-g-rossiya_11371/,13g
2409,yerevan_city,"Chewing gum ""Wrigley's"" mint 13g",140.0,/shop/product-details/587,13g
2409,sas,"Spearmint chewing gum ""Wrigley's"" 13g",150.0,/en/catalog/zhevatelnaya_rezinka/46366/,13g
2410,supermarket.am,"Chewing gum ""Orbit"" 14g Eucalyptus",140.0,/en/products/zhev-rezinka-orbit-evkalipt-g-rossiya_11237/,14g
2410,sas,"Eucalyptus chewing gum ""Orbit"" 14g",150.0,/en/catalog/zhevatelnaya_rezinka/46062/,14g
2411,supermarket.am,"Chewing gum ""Dirol Fresh"" 13.6g Mint",110.0,/en/products/zhev-rezinka-dirol-fresh-moroznaya-myata-g-rossiya_10985/,13g
2411,yerevan_city,"Chewing gum ""Dirol"" frosty mint 13.6g",120.0,/shop/product-details/4497,13g
2412,supermarket.am,"Chewing gum ""Dirol X-Fresh"" 18g Tangerine",230.0,/en/products/zhev-rezinka-dirol-x-fresh-ledyanoy-mandarin-g-rossiya_326304/,18g
